,PropertyID,SaleDate,Town,Bedrooms,Bathroom,PropertyType,DistanceFromCBD,CarSpaces,Gardensqm,Landsqm,floorsqm,YearBuilt,Region,TownDensity,SalePrice
0,3826,27/06/2016,Surrey Hills,3,1.0,House,2.6,2.0,,248.0,,,ZoneA,14949.0,1570000.0
1,6979,23/09/2017,Wapping,2,1.0,House,5.4,0.0,88.0,284.0,88.0,1920.0,ZoneB,10331.0,1630000.0
2,7290,07/10/2017,Kellyville,1,,Terrace,12.0,,,,,,ZoneA,21650.0,405000.0
3,7254,07/10/2017,Hillbrow,2,,Flat,5.3,,,,,,ZoneB,11308.0,490000.0
4,8407,25/11/2017,Denver,2,1.0,Terrace,6.3,2.0,107.0,,107.0,2001.0,ZoneC,6543.0,807000.0
5,1531,28/08/2016,Chiswick,2,1.0,House,7.8,1.0,114.0,263.0,114.0,1910.0,ZoneA,11204.0,981000.0
6,7544,21/10/2017,Abbotsford,5,2.0,House,8.4,4.0,,,,,ZoneB,8801.0,3501000.0
7,6575,09/09/2017,Fairfield,3,,Terrace,8.4,,,,,,ZoneA,14577.0,800000.0
8,1958,03/12/2016,Enfield,3,1.0,House,13.0,1.0,,336.0,,,ZoneA,8870.0,500000.0
9,7459,14/10/2017,Denver,4,2.0,House,6.3,2.0,236.0,,236.0,2011.0,ZoneC,6543.0,1700000.0
10,1769,24/09/2016,Darlington,1,1.0,Flat,6.4,1.0,42.0,1783.0,42.0,1975.0,ZoneC,7570.0,282000.0
11,1126,26/07/2016,Greenwich,3,1.0,House,5.2,0.0,104.0,285.0,104.0,1890.0,ZoneA,11918.0,1170000.0
12,1362,22/05/2016,Carlingford,3,2.0,House,11.4,2.0,166.0,603.0,166.0,1945.0,ZoneB,7822.0,1430000.0
13,8994,03/03/2018,Fairfield,3,1.0,House,8.4,4.0,,515.0,,,ZoneA,14577.0,750000.0
14,1089,18/06/2016,Greenwich,3,2.0,House,5.2,1.0,195.0,0.0,195.0,1945.0,ZoneA,11918.0,1700000.0
